Name,Country,Links,government,1.1. App has defined lifetime,1.2. Data storage is time-limited,2.1. Opt-in download and use,2.2. Opt-in data sharing,2.3. Not tied to other benefits,3.1. Data used only for establishing contacts,3.2. No PII collection,4.1. Open source,4.2. Published privacy policy,5.1. Freely available,5.2. Android and iOS (when necessary),6.1. Decentralized storage,6.2. Can erase data,7.1. Decentralized matching,7.2. Rotating randomized beacon,"8.1. Contact accuracy (BLE, not GPS or other)",8.2. Positive cases verified by test,protocol,Installs (Google Play),Average Rating (Google Play),who_region,status,date_released,date_cancelled,has_protocol,state,protocol_other,score
ASI,Ecuador,https://asiecuador.com/,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,DP3T,"500,000",3.3,LATAM,released,2020-08-01,,yes,,DP3T/TCN,7.5
HOIA,Estonia,https://hoia.me/en/,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Apple/Google,"100,000",3.3,EURO,released,2020-08-17,,yes,,Apple/Google,7.5
CoCOVID,EU,https://cocovid.info/,no,no,yes,yes,yes,no,no,no,no,no,yes,no,yes,no,no,no,yes,no,none,,,EURO,cancelled,,,no,,none,2.6666666666666665
careFIJI,Fiji,https://carefiji.digitalfiji.gov.fj/,yes,no,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,no,yes,yes,yes,OpenTrace,"50,000",3.6,WPRO,released,2020-05-24,,yes,,other,6.0
Koronavilkku,Finland,https://koronavilkku.fi/en/,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Apple/Google,"1,000,000",3.6,EURO,released,2020-08-26,,yes,,Apple/Google,7.5
TousAntiCovid,France,https://www.gouvernement.fr/info-coronavirus/tousanticovid,yes,yes,yes,yes,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,ROBERT,"5,000,000",3.5,EURO,released,2020-05-31,,yes,,other,6.0
Stop Covid,Georgia,https://play.google.com/store/apps/details?id=gov.georgia.novid20,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,yes,yes,PEPP-PT,"100,000",3.8,EURO,released,2020-04-04,,yes,,other,6.0
Corona GO,Germany,https://corona-go.de/,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,no,yes,no,no,yes,no,PEPP-PT,,,EURO,cancelled,,2020-04-14,yes,,other,5.0
OHIOH,Germany,https://ohioh.de/,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,TCN,,,EURO,development,,,yes,,DP3T/TCN,6.5
Cotect,Germany,https://cotect.launchaco.com/,no,no,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,no,yes,no,no,no,no,none,,,EURO,cancelled,,,no,,none,4.5
Coronika,Germany,https://www.coronika.app/,no,no,no,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,no,none,"50,000",4.0,EURO,released,2020-03-19,,no,,none,4.5
